Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF
1,PCC,ALL,037 Ngamwongwan,Paradorn,37,,,2,,1,0,,146.90,11,,1,,,,14.77,13.77,1,,,,,,,17.09,17.09,,,,,,,,24.24,16.24,5,,1,,,,,15.59,13.59,2,,,,,,,13.88,13.88,,,,,,,,21.48,18.48,3,,,,,,,19.26,19.26,,,,,,,,20.59,20.59,,,,,,,
2,PCC,ALL,162 Kamonjitvaree,Kritawat,162,,,8,,1,0,,158.17,5,,,,,,17.41,16.41,1,,,,,,,16.89,15.89,1,,,,,,,16.23,15.23,1,,,,,,,18.60,17.60,1,,,,,,,14.25,14.25,,,,,,,,18.03,18.03,,,,,,,,34.70,33.70,1,,,,,,,22.06,22.06,,,,,,,
3,CO,ALL,097 Bhumidist,Teerawit,97,,,6,,1,0,,158.62,13,,,,,,15.09,15.09,,,,,,,,15.99,15.99,,,,,,,,21.26,18.26,3,,,,,,,22.67,21.67,1,,,,,,,16.07,16.07,,,,,,,,17.49,16.49,1,,,,,,,23.82,23.82,,,,,,,,26.23,18.23,8,,,,,,
4,PCC,ALL,046 Uttanam,Anuchit,46,,,3,,1,0,Law Enforcement,162.61,15,1,1,,,,18.28,18.28,,,,,,,,15.15,15.15,,,,,,,,25.36,16.36,4,1,,,,,,27.80,15.80,9,,1,,,,,14.66,14.66,,,,,,,,21.37,21.37,,,,,,,,18.28,18.28,,,,,,,,21.71,19.71,2,,,,,,
5,PCC,ALL,038 Deewajin,Anurak,38,,,2,,1,0,,168.22,18,,,,,,15.07,15.07,,,,,,,,15.99,13.99,2,,,,,,,15.96,14.96,1,,,,,,,14.37,14.37,,,,,,,,12.02,12.02,,,,,,,,34.40,30.40,4,,,,,,,31.60,31.60,,,,,,,,28.81,17.81,11,,,,,,
6,SPD,ALL,178 Wangmee,Aek,178,,,10,,1,0,,175.71,21,,,,,,19.57,17.57,2,,,,,,,17.71,17.71,,,,,,,,30.66,17.66,13,,,,,,,21.07,20.07,1,,,,,,,15.35,15.35,,,,,,,,19.73,19.73,,,,,,,,29.81,29.81,,,,,,,,21.81,16.81,5,,,,,,
7,SSP,MA,136 Pruek-amnuai,Phuriphat,136,,,8,,1,0,,176.49,20,1,,,,,16.82,15.82,1,,,,,,,20.67,18.67,2,,,,,,,23.46,15.46,3,1,,,,,,21.59,17.59,4,,,,,,,14.37,14.37,,,,,,,,22.62,18.62,4,,,,,,,23.11,23.11,,,,,,,,33.85,27.85,6,,,,,,
8,CO,ALL,065 Kunlasetthawat,Tanakom,65,,,6,,1,0,,181.60,23,,,,,,18.98,18.98,,,,,,,,27.69,21.69,6,,,,,,,32.86,18.86,14,,,,,,,18.60,17.60,1,,,,,,,16.24,15.24,1,,,,,,,18.86,18.86,,,,,,,,24.62,23.62,1,,,,,,,23.75,23.75,,,,,,,
9,SSP,MA,183 Janevarakul,Theeradej,183,,,11,,1,0,,182.34,24,,,,,,16.57,16.57,,,,,,,,17.45,17.45,,,,,,,,25.71,17.71,8,,,,,,,18.92,16.92,2,,,,,,,14.13,14.13,,,,,,,,19.40,18.40,1,,,,,,,30.36,29.36,1,,,,,,,39.80,27.80,12,,,,,,
10,ESP,NV,071 Nokthaisong,Nathawat,71,,,4,,1,0,Junior,184.43,29,,,,,,17.46,16.46,1,,,,,,,16.91,16.91,,,,,,,,24.85,16.85,8,,,,,,,18.49,18.49,,,,,,,,14.53,13.53,1,,,,,,,21.83,17.83,4,,,,,,,28.42,24.42,4,,,,,,,41.94,30.94,11,,,,,,
11,ESP,MA,100 Rueangpracha,Nararit,100,,,6,,1,0,,184.74,38,,1,,,,18.94,17.94,1,,,,,,,15.64,15.64,,,,,,,,28.69,21.69,7,,,,,,,20.07,19.07,1,,,,,,,15.92,13.92,2,,,,,,,25.24,17.24,5,,1,,,,,21.61,21.61,,,,,,,,38.63,16.63,22,,,,,,
12,SSP,MA,214 Atchararuji,Itsarawut,214,,,12,,1,0,,187.86,10,,,,,,17.80,17.80,,,,,,,,16.19,16.19,,,,,,,,17.67,17.67,,,,,,,,22.93,19.93,3,,,,,,,14.65,13.65,1,,,,,,,18.41,18.41,,,,,,,,40.06,40.06,,,,,,,,40.15,34.15,6,,,,,,
13,SPD,ALL,201 Hasalem,Atisak,201,,,6,,1,0,,191.26,27,1,,,,,17.98,16.98,1,,,,,,,16.76,16.76,,,,,,,,33.48,18.48,10,1,,,,,,23.72,19.72,4,,,,,,,15.64,15.64,,,,,,,,23.78,19.78,4,,,,,,,27.90,27.90,,,,,,,,32.00,24.00,8,,,,,,
14,PCC,ALL,094 Chintawan,Satit,94,,,5,,1,0,,193.08,35,2,,,,,22.58,20.58,2,,,,,,,18.89,17.89,1,,,,,,,33.22,18.22,5,2,,,,,,26.61,15.61,11,,,,,,,16.52,15.52,1,,,,,,,21.94,16.94,5,,,,,,,28.47,27.47,1,,,,,,,24.85,15.85,9,,,,,,
15,ESP,MM,161 Tongsomboon,Kantaphat,161,,,8,,1,0,,193.37,39,,1,,,,22.74,19.74,3,,,,,,,17.67,15.67,2,,,,,,,27.99,19.99,5,,1,,,,,22.02,17.02,5,,,,,,,14.86,12.86,2,,,,,,,26.35,20.35,6,,,,,,,25.98,22.98,3,,,,,,,35.76,22.76,13,,,,,,
16,CCP,EX,194 Eaksirichayakul,Chinnapat,194,,,11,,1,0,,196.31,29,1,,,,,20.56,15.56,5,,,,,,,20.41,18.41,2,,,,,,,23.20,20.20,3,,,,,,,20.93,18.93,2,,,,,,,21.83,13.83,3,1,,,,,,25.02,23.02,2,,,,,,,37.49,34.49,3,,,,,,,26.87,17.87,9,,,,,,
17,CDP,MA,096 Kaenthao,Surachet,96,,,6,,1,0,,198.75,20,,,,,,21.69,21.69,,,,,,,,18.49,17.49,1,,,,,,,30.42,25.42,5,,,,,,,23.43,19.43,4,,,,,,,17.94,15.94,2,,,,,,,23.94,22.94,1,,,,,,,28.82,28.82,,,,,,,,34.02,27.02,7,,,,,,
18,ESP,MM,154 Yamprai,Aunnop,154,,,9,,1,0,Law Enforcement,201.64,14,1,,,,,24.22,24.22,,,,,,,,23.18,23.18,,,,,,,,30.67,19.67,6,1,,,,,,22.55,19.55,3,,,,,,,14.71,14.71,,,,,,,,33.11,32.11,1,,,,,,,20.28,20.28,,,,,,,,32.92,28.92,4,,,,,,
19,CDP,SS,137 Detudom,Lattavit,137,,,8,,1,0,,205.52,37,1,1,,,,22.09,20.09,2,,,,,,,20.03,19.03,1,,,,,,,34.44,16.44,10,1,1,,,,,25.71,20.71,5,,,,,,,16.11,16.11,,,,,,,,26.45,22.45,4,,,,,,,28.27,27.27,1,,,,,,,32.42,18.42,14,,,,,,
20,CDP,EX,057 Nopakijpongpon,Wasutond,57,,,3,,1,0,,205.70,6,,,,,,22.99,22.99,,,,,,,,20.21,19.21,1,,,,,,,23.49,22.49,1,,,,,,,19.91,19.91,,,,,,,,17.91,17.91,,,,,,,,26.56,24.56,2,,,,,,,35.37,34.37,1,,,,,,,39.26,38.26,1,,,,,,
21,PCC,ALL,002 Suntiparapop,Chanatip,2,,,1,,1,0,,205.80,41,2,3,,,,17.46,16.46,1,,,,,,,19.88,18.88,1,,,,,,,30.78,17.78,13,,,,,,,21.86,17.86,4,,,,,,,25.66,15.66,,2,,,,,,26.07,22.07,1,,1,,,,,44.87,17.87,21,,2,,,,,19.22,19.22,,,,,,,
22,CCP,MA,069 Srirongmuang,Siam,69,,,4,,1,0,,205.83,25,2,,,,,25.08,24.08,1,,,,,,,18.47,17.47,1,,,,,,,43.72,19.72,14,2,,,,,,22.68,20.68,2,,,,,,,17.31,16.31,1,,,,,,,22.32,21.32,1,,,,,,,24.08,24.08,,,,,,,,32.17,27.17,5,,,,,,
23,SSP,MM,164 Pravunna,Pollkrit,164,,,9,,1,0,,206.91,19,,1,,,,26.13,25.13,1,,,,,,,21.50,20.50,1,,,,,,,34.02,24.02,10,,,,,,,23.18,22.18,1,,,,,,,15.75,15.75,,,,,,,,32.27,25.27,4,,1,,,,,25.35,24.35,1,,,,,,,28.71,27.71,1,,,,,,
24,ESP,MA,001 Thammasin,Thunphat,1,,,1,,1,0,Law Enforcement,208.85,25,1,1,,,,25.27,23.27,2,,,,,,,18.71,17.71,1,,,,,,,29.04,19.04,7,,1,,,,,30.36,21.36,4,1,,,,,,15.77,15.77,,,,,,,,22.93,18.93,4,,,,,,,33.40,31.40,2,,,,,,,33.37,28.37,5,,,,,,
25,CCP,EX,118 Sodsoy,Nutthapong,118,,,7,,1,0,Law Enforcement,210.17,36,,,,,,22.25,19.25,3,,,,,,,22.25,19.25,3,,,,,,,31.65,22.65,9,,,,,,,21.69,17.69,4,,,,,,,15.84,14.84,1,,,,,,,24.89,20.89,4,,,,,,,33.30,30.30,3,,,,,,,38.30,29.30,9,,,,,,
26,CCP,MA,173 Katemorn,Suraphong,173,,,2,,1,0,,211.57,47,3,,,,,19.95,17.95,2,,,,,,,18.53,17.53,1,,,,,,,35.75,17.75,13,1,,,,,,33.52,18.52,10,1,,,,,,19.86,14.86,,1,,,,,,23.43,19.43,4,,,,,,,36.42,23.42,13,,,,,,,24.11,20.11,4,,,,,,
27,SSP,MM,138 Hatsadinthon na Ayutthaya,Autthavisit,138,,,8,,1,0,,212.73,31,1,2,,,,16.69,16.69,,,,,,,,21.38,17.38,1,,1,,,,,28.36,19.36,4,1,,,,,,31.56,28.56,3,,,,,,,16.61,14.61,2,,,,,,,27.38,21.38,6,,,,,,,40.86,27.86,10,,1,,,,,29.89,24.89,5,,,,,,
28,SSP,SS,195 Prasertcharoensuk,Anupong,195,,,11,,1,0,,213.23,23,,2,,,,25.40,23.40,2,,,,,,,20.23,18.23,2,,,,,,,29.31,23.31,3,,1,,,,,23.68,19.68,4,,,,,,,21.23,21.23,,,,,,,,23.78,20.78,,,1,,,,,39.70,38.70,1,,,,,,,29.90,18.90,11,,,,,,
29,ESP,SS,112 Chanputhra,Yotrakarn,112,,,6,,1,0,Law Enforcement,215.45,45,,2,,,,20.63,18.63,2,,,,,,,19.27,18.27,1,,,,,,,42.51,17.51,22,,1,,,,,28.08,24.08,1,,1,,,,,18.71,18.71,,,,,,,,22.88,18.88,4,,,,,,,25.21,25.21,,,,,,,,38.16,23.16,15,,,,,,
30,SSP,SS,099 Sukhsong,Surapol,99,,,6,,1,0,,216.96,42,1,1,,,,21.66,21.66,,,,,,,,19.01,18.01,1,,,,,,,29.66,19.66,2,1,1,,,,,26.51,19.51,7,,,,,,,15.92,14.92,1,,,,,,,27.84,21.84,6,,,,,,,26.37,25.37,1,,,,,,,49.99,25.99,24,,,,,,
31,ESP,SS,021 Charastanetkul,Narin,21,,,2,,1,0,,217.35,28,,1,,,,22.73,22.73,,,,,,,,24.46,24.46,,,,,,,,32.14,24.14,5,,1,,,,,31.64,27.64,4,,,,,,,15.51,15.51,,,,,,,,22.07,21.07,1,,,,,,,25.20,23.20,2,,,,,,,43.60,27.60,16,,,,,,
32,REV,SS,073 Thongsri,Worawit,73,,,4,,1,0,,217.95,28,,,,,,35.72,33.72,2,,,,,,,26.40,26.40,,,,,,,,26.75,22.75,4,,,,,,,24.76,21.76,3,,,,,,,19.01,18.01,1,,,,,,,25.37,24.37,1,,,,,,,22.36,21.36,1,,,,,,,37.58,21.58,16,,,,,,
33,PCC,ALL,008 Temiyasathit,Philip,8,,,1,,1,0,,219.11,11,4,,,,,25.23,24.23,1,,,,,,,19.58,19.58,,,,,,,,32.60,18.60,4,2,,,,,,18.67,17.67,1,,,,,,,20.41,19.41,1,,,,,,,24.48,24.48,,,,,,,,52.09,41.09,1,2,,,,,,26.05,23.05,3,,,,,,
34,CDP,SS,158 Waewpeth,Thanatuss,158,,,9,,1,0,,219.14,28,,,,,,22.42,22.42,,,,,,,,19.82,19.82,,,,,,,,41.31,25.31,16,,,,,,,24.92,23.92,1,,,,,,,18.90,16.90,2,,,,,,,28.99,26.99,2,,,,,,,33.11,33.11,,,,,,,,29.67,22.67,7,,,,,,
35,SSP,MM,204 Treesinchai,Welavit,204,,,11,,1,0,,219.16,39,2,,,,,22.64,18.64,4,,,,,,,22.23,20.23,2,,,,,,,40.89,18.89,12,2,,,,,,24.83,20.83,4,,,,,,,19.99,16.99,3,,,,,,,24.74,20.74,4,,,,,,,26.56,26.56,,,,,,,,37.28,27.28,10,,,,,,
36,SSP,MM,113 Krathumkad,Kitsana,113,,,6,,1,0,,220.87,36,,1,,,,22.76,19.76,3,,,,,,,22.98,19.98,3,,,,,,,35.53,25.53,10,,,,,,,30.51,24.51,3,,1,,,,,17.35,16.35,1,,,,,,,27.22,22.22,5,,,,,,,29.43,28.43,1,,,,,,,35.09,25.09,10,,,,,,
37,CDP,EX,023 Wawjangreed,Amnuay,23,,,2,,1,0,Law Enforcement,221.73,38,2,1,,,,19.61,18.61,1,,,,,,,20.17,19.17,1,,,,,,,46.27,23.27,10,2,1,,,,,23.93,19.93,4,,,,,,,20.31,16.31,4,,,,,,,28.76,23.76,5,,,,,,,26.30,23.30,3,,,,,,,36.38,26.38,10,,,,,,
38,CCP,EX,157 Nasimma,Kongkiat,157,,,9,,1,0,,223.39,33,1,,,,,19.89,19.89,,,,,,,,23.97,22.97,1,,,,,,,39.15,20.15,14,1,,,,,,25.23,23.23,2,,,,,,,15.51,15.51,,,,,,,,27.08,22.08,5,,,,,,,38.09,35.09,3,,,,,,,34.47,26.47,8,,,,,,
39,CDP,EX,127 Kuikaew,Pramote,127,,,7,,1,0,Law Enforcement,224.70,36,1,,,,,21.89,19.89,2,,,,,,,21.89,19.89,2,,,,,,,37.11,20.11,12,1,,,,,,27.50,21.50,6,,,,,,,19.66,18.66,1,,,,,,,31.39,28.39,3,,,,,,,29.74,29.74,,,,,,,,35.52,25.52,10,,,,,,
40,SPD,ALL,054 Limmaneevichitr,Warunyu,54,,,3,,1,0,,225.17,34,1,1,,,,19.93,18.93,1,,,,,,,22.92,21.92,1,,,,,,,38.88,16.88,17,1,,,,,,25.97,21.97,4,,,,,,,17.88,14.88,3,,,,,,,26.65,23.65,3,,,,,,,30.98,30.98,,,,,,,,41.96,33.96,5,,1,,,,
41,CO,ALL,020 Pansiri,Montree,20,,,2,,1,0,,226.65,37,,,,,,22.42,20.42,2,,,,,,,19.38,19.38,,,,,,,,45.05,23.05,22,,,,,,,28.88,25.88,3,,,,,,,23.36,23.36,,,,,,,,28.54,26.54,2,,,,,,,33.36,30.36,3,,,,,,,25.66,20.66,5,,,,,,
42,CO,ALL,039 Ubumrung,Duang,39,,,3,,1,0,,228.05,38,1,,,,,24.69,24.69,,,,,,,,24.92,23.92,1,,,,,,,28.50,22.50,6,,,,,,,25.63,23.63,2,,,,,,,22.96,17.96,,1,,,,,,29.82,26.82,3,,,,,,,34.00,25.00,9,,,,,,,37.53,20.53,17,,,,,,
43,SSP,SS,103 Kubtublang,Anuchamat,103,,,6,,1,0,Law Enforcement,229.63,51,1,3,,,,22.49,20.49,2,,,,,,,26.78,21.78,2,,1,,,,,44.10,21.10,18,1,,,,,,22.89,19.89,,,1,,,,,15.54,15.54,,,,,,,,24.02,20.02,4,,,,,,,36.09,23.09,10,,1,,,,,37.72,22.72,15,,,,,,
44,ESP,NV,199 Nathmontre,Teerapong,199,,,11,,1,0,,230.57,37,1,,,,,22.04,22.04,,,,,,,,22.25,22.25,,,,,,,,44.57,20.57,24,,,,,,,39.51,25.51,9,1,,,,,,16.51,16.51,,,,,,,,31.34,30.34,1,,,,,,,29.06,29.06,,,,,,,,25.29,22.29,3,,,,,,
45,SSP,EX,205 Uraisint,Sirawit,205,,,11,,1,0,,234.53,30,3,,,,,22.11,22.11,,,,,,,,21.56,21.56,,,,,,,,27.42,18.42,4,1,,,,,,27.85,27.85,,,,,,,,24.24,14.24,,2,,,,,,24.59,20.59,4,,,,,,,38.90,38.90,,,,,,,,47.86,25.86,22,,,,,,
46,SSP,NV,111 Sukkan,Sira,111,,,6,,1,0,,237.13,32,1,2,,,,25.20,24.20,1,,,,,,,28.08,22.08,6,,,,,,,35.29,20.29,10,1,,,,,,24.65,20.65,4,,,,,,,19.55,17.55,2,,,,,,,24.67,23.67,1,,,,,,,36.09,28.09,2,,2,,,,,43.60,37.60,6,,,,,,
47,ESP,SS,013 Thamkongka,Chai,13,,,1,,1,0,,237.17,53,1,,,,,25.21,19.21,6,,,,,,,20.79,17.79,3,,,,,,,34.79,19.79,15,,,,,,,27.36,25.36,2,,,,,,,26.13,19.13,2,1,,,,,,28.86,20.86,8,,,,,,,35.15,33.15,2,,,,,,,38.88,23.88,15,,,,,,
48,ESP,MM,223 Permpipat,Eakaluk,223,,,3,,1,0,,238.22,74,,2,,,,28.39,25.39,3,,,,,,,20.72,18.72,2,,,,,,,39.36,21.36,18,,,,,,,34.48,18.48,16,,,,,,,15.91,14.91,1,,,,,,,26.80,19.80,4,,1,,,,,34.74,21.74,10,,1,,,,,37.82,17.82,20,,,,,,
49,ESP,NV,075 Sukcharoen,Vachira,75,,,1,,1,0,,241.53,52,,2,,,,21.61,21.61,,,,,,,,20.16,19.16,1,,,,,,,41.33,22.33,19,,,,,,,26.78,24.78,2,,,,,,,17.71,16.71,1,,,,,,,22.77,22.77,,,,,,,,55.90,28.90,21,,2,,,,,35.27,27.27,8,,,,,,
50,PCC,ALL,089 Tritipayapong,Panachai,89,,,5,,1,0,Law Enforcement,241.97,39,2,,,,,44.25,37.25,7,,,,,,,23.33,22.33,1,,,,,,,32.87,21.87,11,,,,,,,23.15,22.15,1,,,,,,,27.74,17.74,,2,,,,,,22.95,22.95,,,,,,,,34.82,25.82,9,,,,,,,32.86,22.86,10,,,,,,
51,ESP,NV,011 Limkumpantong,Parin,11,,,1,,1,0,Law Enforcement,242.69,48,,,,,,23.03,21.03,2,,,,,,,21.63,21.63,,,,,,,,33.24,19.24,14,,,,,,,29.18,24.18,5,,,,,,,15.67,15.67,,,,,,,,28.42,21.42,7,,,,,,,43.76,38.76,5,,,,,,,47.76,32.76,15,,,,,,
52,CCP,UN,131 Chaicham,Krithaphon,131,,,7,,1,0,Law Enforcement,245.70,40,3,,,,,27.63,26.63,1,,,,,,,25.02,22.02,3,,,,,,,35.20,20.20,10,1,,,,,,42.04,25.04,7,2,,,,,,20.85,20.85,,,,,,,,31.53,26.53,5,,,,,,,31.62,27.62,4,,,,,,,31.81,21.81,10,,,,,,
53,ESP,SS,063 Tanpoonkiat,Peerapol,63,,,4,,1,0,,247.42,39,,1,,,,25.05,24.05,1,,,,,,,22.66,19.66,3,,,,,,,38.95,22.95,13,,1,,,,,39.97,34.97,5,,,,,,,18.95,16.95,2,,,,,,,26.83,21.83,5,,,,,,,27.27,27.27,,,,,,,,47.74,37.74,10,,,,,,
54,ESP,SS,015 Saraithong,Kasem,15,,,1,,1,0,Law Enforcement,248.81,39,,3,,,,19.78,19.78,,,,,,,,26.29,25.29,1,,,,,,,30.73,18.73,9,,1,,,,,27.42,21.42,6,,,,,,,16.80,16.80,,,,,,,,28.40,25.40,3,,,,,,,71.86,45.86,20,,2,,,,,27.53,27.53,,,,,,,
55,PCC,ALL,014 Charoensak,Adisorn,14,,,1,,1,0,,248.81,29,2,1,,,,34.28,29.28,,1,,,,,,24.42,21.42,,,1,,,,,26.92,19.92,2,1,,,,,,20.71,18.71,2,,,,,,,23.72,23.72,,,,,,,,30.20,28.20,2,,,,,,,44.43,44.43,,,,,,,,44.13,21.13,23,,,,,,
56,SSP,NV,048 Ratklao,Suriya,48,,,3,,1,0,Law Enforcement,251.20,73,,1,,1,,29.11,24.11,5,,,,,,,21.63,20.63,1,,,,,,,26.84,18.84,8,,,,,,,35.17,19.17,6,,,,1,,,19.15,17.15,2,,,,,,,30.17,20.17,10,,,,,,,40.61,24.61,13,,1,,,,,48.52,20.52,28,,,,,,
57,CDP,MM,203 Mahaweeraphongsa,Phichapat,203,,,11,,1,0,,251.56,43,,,,,,35.01,30.01,5,,,,,,,19.76,18.76,1,,,,,,,25.95,19.95,6,,,,,,,38.84,23.84,15,,,,,,,17.30,17.30,,,,,,,,34.92,29.92,5,,,,,,,41.15,31.15,10,,,,,,,38.63,37.63,1,,,,,,
58,ESP,MM,121 Watcharapon,Jager,121,,,7,,1,0,Law Enforcement,252.96,48,1,1,,,,21.60,20.60,1,,,,,,,21.60,20.60,1,,,,,,,38.29,20.29,18,,,,,,,43.39,23.39,12,1,1,,,,,22.22,22.22,,,,,,,,28.52,27.52,1,,,,,,,34.13,34.13,,,,,,,,43.21,28.21,15,,,,,,
59,CCP,MM,163 Prasongsab,Thanison,163,,,9,,1,0,,254.10,33,,1,,,,29.04,25.04,1,,1,,,,,23.86,23.86,,,,,,,,42.51,23.51,19,,,,,,,27.63,23.63,4,,,,,,,19.66,18.66,1,,,,,,,29.73,28.73,1,,,,,,,48.39,47.39,1,,,,,,,33.28,27.28,6,,,,,,
60,SSP,MM,140 Thaibuntao,Pipat,140,,,1,,1,0,,254.61,42,,,,,,31.90,27.90,4,,,,,,,20.83,20.83,,,,,,,,40.39,19.39,21,,,,,,,28.67,24.67,4,,,,,,,19.89,18.89,1,,,,,,,34.06,30.06,4,,,,,,,30.46,28.46,2,,,,,,,48.41,42.41,6,,,,,,
61,BUG,MA,022 Kotthanu,Yodsapol,22,,,2,,1,0,Senior,256.22,56,1,1,,,,27.84,26.84,1,,,,,,,28.68,20.68,5,,1,,,,,43.43,20.43,18,1,,,,,,35.83,29.83,6,,,,,,,17.98,17.98,,,,,,,,32.04,25.04,7,,,,,,,28.65,25.65,3,,,,,,,41.77,25.77,16,,,,,,
62,SSP,MM,129 Kaewtong,Jirawut,129,,,7,,1,0,,256.96,73,,1,,,,28.23,25.23,3,,,,,,,39.85,33.85,6,,,,,,,33.04,21.04,12,,,,,,,31.52,18.52,10,,1,,,,,26.15,14.15,12,,,,,,,24.64,22.64,2,,,,,,,27.66,27.66,,,,,,,,45.87,17.87,28,,,,,,
63,ESP,NV,082 Chuklin,Thanachai,82,,,5,,1,0,Senior,257.28,23,,2,,,,38.40,33.40,2,,1,,,,,22.50,22.50,,,,,,,,34.87,28.87,3,,1,,,,,31.09,28.09,3,,,,,,,22.30,21.30,1,,,,,,,28.19,24.19,4,,,,,,,38.51,33.51,5,,,,,,,41.42,36.42,5,,,,,,
64,CDP,SS,005 Chaisisa,Somjit,5,,,1,,1,0,,257.38,42,1,,,,,22.06,21.06,1,,,,,,,22.79,20.79,2,,,,,,,48.58,19.58,24,1,,,,,,31.06,28.06,3,,,,,,,19.88,19.88,,,,,,,,27.13,26.13,1,,,,,,,48.88,42.88,6,,,,,,,37.00,32.00,5,,,,,,
65,CO,ALL,115 -,Tai Boon Chin,115,,,6,,1,0,,259.05,42,1,2,,,,27.29,27.29,,,,,,,,26.97,25.97,1,,,,,,,46.06,25.06,13,1,1,,,,,26.70,26.70,,,,,,,,24.11,24.11,,,,,,,,27.28,23.28,4,,,,,,,48.83,32.83,13,,1,,,,,31.81,20.81,11,,,,,,
66,CCP,MM,074 Yingsirithananont,Athipatch,74,,,4,,1,0,Law Enforcement,259.14,36,1,2,,,,22.40,22.40,,,,,,,,21.04,20.04,1,,,,,,,40.78,25.78,7,1,1,,,,,31.72,30.72,1,,,,,,,21.62,21.62,,,,,,,,29.62,27.62,2,,,,,,,49.54,33.54,13,,1,,,,,42.42,30.42,12,,,,,,
67,CCP,MM,067 Ditsaranonta,Nititorn,67,,,4,,1,0,,259.16,38,,2,,,,26.97,21.97,5,,,,,,,27.84,24.84,3,,,,,,,35.55,23.55,9,,1,,,,,32.98,31.98,1,,,,,,,22.55,19.55,3,,,,,,,38.37,28.37,7,,1,,,,,34.33,33.33,1,,,,,,,40.57,31.57,9,,,,,,
68,CCP,MM,085 Photikot,Naphon,85,,,5,,1,0,Law Enforcement,259.22,27,1,,,,,34.85,33.85,1,,,,,,,23.84,23.84,,,,,,,,37.68,22.68,10,1,,,,,,33.78,30.78,3,,,,,,,22.17,22.17,,,,,,,,35.93,32.93,3,,,,,,,34.85,33.85,1,,,,,,,36.12,27.12,9,,,,,,
69,SSP,SS,107 Assawawongthada,Issara,107,,,6,,1,0,,259.31,95,,2,,,,25.96,20.96,2,,1,,,,,20.50,17.50,3,,,,,,,44.83,17.83,24,,1,,,,,36.52,20.52,16,,,,,,,14.25,13.25,1,,,,,,,27.32,19.32,8,,,,,,,31.02,25.02,6,,,,,,,58.91,23.91,35,,,,,,
70,SSP,NV,206 Cochrane,Ryan,206,,,8,,1,0,,259.98,47,3,2,,,,26.34,25.34,1,,,,,,,20.87,19.87,1,,,,,,,36.89,20.89,11,1,,,,,,38.00,24.00,4,2,,,,,,20.81,19.81,1,,,,,,,29.80,25.80,4,,,,,,,47.72,28.72,13,,2,,,,,39.55,27.55,12,,,,,,
71,SSP,MM,028 Montika,Suttinun,28,,,2,,1,0,Law Enforcement,261.35,41,1,,,,,35.01,27.01,8,,,,,,,24.17,24.17,,,,,,,,34.98,24.98,5,1,,,,,,32.20,30.20,2,,,,,,,19.06,18.06,1,,,,,,,39.07,26.07,13,,,,,,,30.81,28.81,2,,,,,,,46.05,36.05,10,,,,,,
72,CO,ALL,216 Saiphan,Tawatchai,216,,,12,,1,0,Law Enforcement,261.60,78,,3,,,,18.08,18.08,,,,,,,,21.90,21.90,,,,,,,,30.72,19.72,11,,,,,,,28.90,21.90,7,,,,,,,16.51,15.51,1,,,,,,,37.13,24.13,13,,,,,,,68.47,29.47,30,,3,,,,,39.89,23.89,16,,,,,,
73,REV,MM,160 Panawong,Kittikorn,160,,,9,,1,0,,261.89,56,1,1,,,,32.03,31.03,1,,,,,,,18.66,18.66,,,,,,,,53.30,22.30,23,1,1,,,,,34.40,27.40,7,,,,,,,16.57,16.57,,,,,,,,29.42,25.42,4,,,,,,,40.44,40.44,,,,,,,,37.07,16.07,21,,,,,,
